RT	Name	EdU_4h_OCT4_18h_OFF_ES	EdU_4h_OCT4_18h_OFF_MS	EdU_4h_OCT4_18h_OFF_LS	EdU_4h_OCT4_ON_ES	EdU_4h_OCT4_ON_MS	EdU_4h_OCT4_ON_LS
ES	IZ423	1.05137	NA	NA	0.700799	NA	NA
ES	IZ424	0.884257	NA	NA	0.828944	NA	NA
ES	IZ425	1.02831	NA	NA	0.776335	NA	NA
ES	IZ426	0.74753	NA	NA	0.679107	NA	NA
ES	IZ427	0.744968	NA	NA	0.617718	NA	NA
ES	IZ428	0.644693	NA	NA	0.520487	NA	NA
ES	IZ429	0.596589	NA	NA	0.518406	NA	NA
ES	IZ430	0.674322	NA	NA	0.565141	NA	NA
ES	IZ431	0.968841	NA	NA	0.635691	NA	NA
ES	IZ432	1.0635	NA	NA	0.520057	NA	NA
ES	IZ433	1.50159	NA	NA	1.11194	NA	NA
ES	IZ434	1.06327	NA	NA	0.947078	NA	NA
ES	IZ435	0.679902	NA	NA	0.689522	NA	NA
ES	IZ438	0.816881	NA	NA	0.749632	NA	NA
ES	IZ439	0.978967	NA	NA	0.838125	NA	NA
ES	IZ440	1.15519	NA	NA	1.08979	NA	NA
ES	IZ441	0.954127	NA	NA	0.896141	NA	NA
ES	IZ442	1.14052	NA	NA	1.24047	NA	NA
ES	IZ443	1.06073	NA	NA	0.79805	NA	NA
ES	IZ444	0.935914	NA	NA	0.835629	NA	NA
